,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39
343,1441.0,1276.0,1204.0,1129.0,1032.0,965.0,905.0,831.0,768.0,704.0,642.0,584.0,531.0,495.0,437.0,407.0,377.0,348.0,320.0,287.0,266.0,247.0,225.0,201.0,180.0,160.0,140.0,124.0,99.0,79.0,67.0,59.0,53.0,45.0,40.0,29.0,21.0,14.0,4.0,2.0
344,,102.0,31.0,41.0,48.0,40.0,30.0,34.0,32.0,31.0,38.0,36.0,21.0,13.0,15.0,13.0,9.0,12.0,7.0,13.0,6.0,4.0,8.0,8.0,7.0,5.0,1.0,3.0,2.0,3.0,,1.0,,2.0,1.0,,,,,
345,,63.0,41.0,34.0,49.0,27.0,30.0,40.0,31.0,33.0,24.0,22.0,32.0,23.0,43.0,17.0,21.0,17.0,21.0,20.0,15.0,15.0,14.0,16.0,14.0,15.0,19.0,13.0,23.0,17.0,12.0,7.0,6.0,6.0,4.0,11.0,8.0,7.0,10.0,2.0
Total,1441.0,1441.0,1276.0,1204.0,1129.0,1032.0,965.0,905.0,831.0,768.0,704.0,642.0,584.0,531.0,495.0,437.0,407.0,377.0,348.0,320.0,287.0,266.0,247.0,225.0,201.0,180.0,160.0,140.0,124.0,99.0,79.0,67.0,59.0,53.0,45.0,40.0,29.0,21.0,14.0,4.0
total_events_censored,0.0,165.0,72.0,75.0,97.0,67.0,60.0,74.0,63.0,64.0,62.0,58.0,53.0,36.0,58.0,30.0,30.0,29.0,28.0,33.0,21.0,19.0,22.0,24.0,21.0,20.0,20.0,16.0,25.0,20.0,12.0,8.0,6.0,8.0,5.0,11.0,8.0,7.0,10.0,2.0
rate,0.0,0.11450381679389313,0.05642633228840126,0.06229235880398671,0.08591674047829938,0.06492248062015504,0.06217616580310881,0.08176795580110498,0.07581227436823104,0.08333333333333333,0.08806818181818182,0.09034267912772585,0.09075342465753425,0.06779661016949153,0.11717171717171718,0.06864988558352403,0.07371007371007371,0.07692307692307693,0.08045977011494253,0.103125,0.07317073170731707,0.07142857142857142,0.08906882591093117,0.10666666666666667,0.1044776119402985,0.1111111111111111,0.125,0.11428571428571428,0.20161290322580644,0.20202020202020202,0.1518987341772152,0.11940298507462686,0.1016949152542373,0.1509433962264151,0.1111111111111111,0.275,0.27586206896551724,0.3333333333333333,0.7142857142857143,0.5
